jack 0.125.0-3
jansson 2.11-1
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.14-1
jdk8-openjdk 8.u181-1
jfsutils 1.1.15-5
jre8-openjdk 8.u181-1
jre8-openjdk-headless 8.u181-1
js52 52.9.0-1
json-c 0.13.1-1
json-glib 1.4.2-2
kauth 5.48.0-3
kbd 2.0.4-1
kcoreaddons 5.48.0-3
keyutils 1.5.10-2
kitemmodels 5.48.0-3
kmod 25-1
krb5 1.16.1-1
l-smash 2.14.5-1
ladspa 1.13-7
lame 3.100-2
lapack 3.8.0-2
lcms 1.19-7
lcms2 2.9-1
ldb 1:1.3.4-2
ldns 1.7.0-4
lensfun 0.3.2-7
less 530-1
lib32-alsa-lib 1.1.6-1
lib32-alsa-plugins 1.1.6-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.6-3
lib32-dbus 1.12.8-1
lib32-expat 2.2.5-1
lib32-flac 1.3.2-1
lib32-flex 2.6.4-1
lib32-gcc-libs 8.2.0-2
lib32-glew 2.1.0-1
lib32-glib2 2.56.1-1
lib32-glibc 2.28-4
lib32-glu 9.0.0-4
lib32-icu 62.1-1
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcanberra-pulse 0.30+2+gc0620e4-1
lib32-libcap 2.25-1
lib32-libdrm 2.4.93-1
lib32-libelf 0.171-1
lib32-libffi 3.2.1-2
lib32-libgcrypt 1.8.3-1
lib32-libglvnd 1.1.0-1
lib32-libgpg-error 1.27-1
lib32-libice 1.0.9-3
lib32-libltdl 2.4.6+40+g6ca5e224-4
lib32-libogg 1.3.3-2
lib32-libpciaccess 0.14-1
lib32-libpulse 12.2-1
lib32-libsm 1.2.2-2
lib32-libsndfile 1.0.28-1
lib32-libvorbis 1.3.6-1
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.13-1
lib32-libxdamage 1.1.4-3
lib32-libxdmcp 1.1.2-2
lib32-libxext 1.3.3-2
lib32-libxfixes 5.0.3-1
lib32-libxi 1.7.9-1
lib32-libxml2 2.9.8-3
lib32-libxmu 1.1.2-2
lib32-libxshmfence 1.3-1
lib32-libxss 1.2.2-3
lib32-libxt 1.1.5-2
lib32-libxtst 1.2.3-1
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 6.0.1-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 18.1.6-1
lib32-mesa-demos 8.4.0-1
lib32-ncurses 6.1-1
lib32-pcre 8.42-1
lib32-readline 7.0.003-1
lib32-systemd 239.0-1
lib32-tdb 1.3.15-2
lib32-util-linux 2.32.1-1
lib32-wayland 1.15.0-1
lib32-xz 5.2.4-1
lib32-zlib 1.2.11-1
libabw 0.1.2-1
libaio 0.3.111-1
libarchive 3.3.2-2
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-4
libatomic_ops 7.6.6-1
libavc1394 0.5.4-3
libblockdev 2.19-1
libbluray 1.0.2-1
libbs2b 3.1.0-6
libbsd 0.9.1-1
libburn 1.4.8-1
libbytesize 1.3-2
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcdr 0.1.4-4
libcmis 0.5.1-9
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.8-3
libdaemon 0.14-4
libdatrie 0.2.12-1
libdc1394 2.2.5-1
libdca 0.0.6-1
libde265 1.0.3-1
libdrm 2.4.93-1
libdv 1.0.0-7
libdvbpsi 1:1.3.2-1
libdvdcss 1.4.2-1
libdvdnav 6.0.0-1
libdvdread 6.0.0-1
libe-book 0.1.3-3
libebml 1.3.6-1
libedit 20180525_3.1-1
libelf 0.171-1
libepoxy 1.5.2-1
libepubgen 0.1.1-1
libetonyek 0.1.8-1
libevdev 1.5.9-1
libevent 2.1.8-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfdk-aac 0.1.6-1
libffi 3.2.1-2
libfontenc 1.1.3-2
libfreehand 0.1.2-1
libgadu 1.12.2-5
libgcrypt 1.8.3-1
libgee06 0.6.8-1
libgexiv2 0.10.8-2
libglade 2.6.4-6
libglvnd 1.1.0-1
libgme 0.6.2-1
libgpg-error 1.32-1
libgphoto2 2.5.19-1
libgsf 1.14.43-1
libgudev 232-1
libguess 1.2-2
libgusb 0.3.0-1
libheif 1.3.2-1
libibus 1.5.18-2
libical 3.0.3-3
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.34-2
libidn2 2.0.5-1
libiec61883 1.2.0-5
libimobiledevice 1.2.0+66+g5a85432-2
libinput 1.11.3-1
libisofs 1.4.8-1
libixion 0.13.0-3
libjpeg-turbo 1.5.3-1
libkeybinder3 0.3.2-1
libksba 1.3.5-1
liblangtag 0.6.2-1
libldap 2.4.46-2
liblouis 3.6.0-2
liblqr 0.4.2-2
libmad 0.15.1b-8
libmagick 7.0.8.10-1
libmatroska 1.4.9-1
libmbim 1.16.2-1
libmm-glib 1.8.0-2
libmms 0.6.4-2
libmng 2.0.3-2
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmp4v2 2.0.0-5
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-1
libmpd 11.8.17-3
libmpeg2 0.5.1-6
libmspub 0.1.4-3
libmtp 1.1.15-1
libmwaw 0.3.14-1
libmypaint 1.3.0-6
libndp 1.6-1
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.20-2
libnfnetlink 1.0.1-3
libnfs 3.0.0-2
libnftnl 1.1.1-1
libnghttp2 1.32.0-1
libnice 0.1.14+70+gfb2f1f7-1
libnl 3.4.0-1
libnm 1.12.3dev+1+g0a3755c17-1
libnm-glib 1.12.3dev+1+g0a3755c17-1
libnotify 0.7.7-1
libnsl 1.2.0-1
libodfgen 0.1.7-1
libofa 0.9.3-7
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
libopenraw 0.1.3-1
liborcus 0.13.4-3
libpagemaker 0.0.4-1
libpaper 1.1.24-10
libpcap 1.9.0-1
libpciaccess 0.14-1
libpgm 5.2.122-3
libpipeline 1.5.0-1
libplacebo 0.5.0-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.34-2
libproxy 0.4.15-8
libpsl 0.20.2-1
libpulse 12.2-2
libpurple 2.13.0-4
libqmi 1.20.2-1
libqxp 0.0.1-3
libraqm 0.5.0-1
libraw 0.18.13-1
libraw1394 2.1.2-1
libreoffice-still 6.0.6-1
librevenge 0.0.4-2
librsvg 2:2.42.6-1
libsamplerate 0.1.9-1
libsasl 2.1.26-13
libseccomp 2.3.3-1
libsecret 0.18.6-1
libshout 1:2.4.1-3
libsidplay 1.36.59-8
libsigc++ 2.10.0-1
libsm 1.2.2-3
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.62.3-1
libsoxr 0.1.3-1
libspiro 1:0.5.20150702-2
libsrtp 1:2.2.0-1
libssh 0.7.5-2
libssh2 1.8.0-2
libstaroffice 0.0.6-1
libstemmer 0+337-2
libsynctex 2018.47465-3
libsystemd 239.0-3
libtar 1.2.20-4
libtasn1 4.13-1
libteam 1.27-2
libthai 0.1.27-1
libtheora 1.1.1-4
libtiff 4.0.9-2
libtirpc 1.0.3-2
libtommath 1.0.1-1
libtool 2.4.6+42+gb88cebd5-1
libunique 1.1.6-7
libunistring 0.9.10-1
libunwind 1.2.1-1
libupnp 1.6.25-1
libusb 1.0.22-1
libusbmuxd 1.0.10+13+gc724e70-1
libutf8proc 2.1.1-4
libutil-linux 2.32.1-2
libva 2.2.0-2
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-4
libvisual 0.4.0-7
libvoikko 4.1.1-2
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.30-1
libwbclient 4.8.3-2
libwebp 1.0.0-1
libwmf 0.2.8.4-14
libwnck 2.31.0-2
libwnck3 3.24.1-1
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.10-1
libx11 1.6.5-1
libx86emu 1.12-1
libxau 1.0.8-3
libxcb 1.13-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfce4ui 4.12.1-2
libxfce4util 4.13.2-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-1
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxklavier 5.4-2
libxml2 2.9.8-4
libxmu 1.1.2-2
libxpm 3.5.12-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-3
libxt 1.1.5-2
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86misc 1.0.4-1
libxxf86vm 1.1.4-2
libyaml 0.1.7-1
libzmf 0.0.2-4
licenses 20171006-1
light-locker 1.8.0-1
lightdm 1:1.26.0-1
lightdm-gtk-greeter 1:2.0.5-1
lightdm-gtk-greeter-settings 1.2.2-3
linux-api-headers 4.17.11-1
linux-firmware 20180815.f1b95fe-1
linux414 4.14.65-1
llvm-libs 6.0.1-4
lm_sensors 3.4.0-4
lmdb 0.9.22-1
logrotate 3.14.0-1
lpsolve 5.5.2.5-2
lsb-release 1.4-12
lua 5.3.5-1
lvm2 2.02.181-1
lz4 1:1.8.2-2
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.4-1
man-pages 4.16-2
manjaro-alsa 2012.11-1
manjaro-base-skel 20171029-3
manjaro-browser-settings 20180707-1
manjaro-documentation-en 20180113-1
manjaro-firmware 20160419-1
manjaro-hello 0.5.11-4
manjaro-hotfixes 2015.12-3
manjaro-icons 20170701-1
manjaro-keyring 20180607-1
manjaro-pulse 2012.11-1
manjaro-release 17.1.12-1
manjaro-settings-manager 0.5.4-15
manjaro-settings-manager-notifier 0.5.4-15
manjaro-system 20180716-1
manjaro-wallpapers-17.0 1.3-1
manjaro-xfce-settings 20180704-1
mdadm 4.0-1
memtest86+ 5.01-2
menulibre 2.2.0-2
mesa 18.1.6-1
mesa-demos 8.4.0-1
metis 5.1.0.p3-1
mhwd 0.6.3-1
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.3-2
mhwd-nvidia 1:396.51-1
mhwd-nvidia-340xx 340.107-1
mhwd-nvidia-390xx 390.77-1
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.29.2-1
mkinitcpio-openswap 0.1.0-2
mlocate 0.26.git.20170220-1
mobile-broadband-provider-info 20170310-1
modemmanager 1.8.0-2
mousepad 0.4.1-1
mozilla-common 1.4-5
mpfr 4.0.1-1
mpg123 1.25.10-1
ms-office-online 18.04.4-2
mtdev 1.1.5-2
mtpfs 1.1-3
mugshot 0.4.1-1
mypaint-brushes 1.3.0-2
nano 2.9.8-1
ncurses 6.1-3
ndctl 62-2
neon 0.30.2-3
net-snmp 5.7.3-9
nettle 3.4-1
network-manager-applet 1.8.16-1
networkmanager 1.12.3dev+1+g0a3755c17-1
networkmanager-openconnect 1.2.4-3
networkmanager-openvpn 1.8.4-1
networkmanager-pptp 1.2.6-1
networkmanager-vpnc 1.2.6-1
nfs-utils 2.3.2-2
nfsidmap 2.3.2-2
nm-connection-editor 1.8.16-1
npth 1.6-1
nspr 4.19-1
nss 3.38-1
nss-mdns 0.10-7
ntfs-3g 2017.3.23-1
